11:50:41: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
11:50:41: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 132] Connected!
11:50:41: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_ALTITUDE: 1
11:50:41: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_ALTITUDE: -1
11:50:44: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 63.43494882292201
11:50:45: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 90.0
11:50:45: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 116.56505117707799
11:50:46: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 45.0
11:50:46: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 63.43494882292201
11:50:47: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 90.0
11:50:47: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 26.565051177077994
11:50:48: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 45.0
11:50:48: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 90.0
11:50:49: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 45.0
11:50:49: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 90.0
11:50:50: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: 135.0
11:50:50: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -26.565051177077994
11:50:51: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -45.0
11:50:51: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -90.0
11:50:52: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -45.0
11:50:52: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -90.0
11:50:53: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -135.0
11:50:53: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -63.43494882292201
11:50:54: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -90.0
11:50:54: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -116.56505117707799
11:50:55: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -45.0
11:50:55: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -63.43494882292201
11:50:56: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Command result: CHANGE_YAW: -90.0
